0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
0.267757 0.209144 0.612017  1.39406        0        0	 0.267757 -0.209144  0.612017         2         0         0
